name,location,rating,reviews,price (€),seats,sleep_places,driving_license,international,animals,model,year,weight (kg),fuel,km,tank (l),deposit (€),deposit_payment_method,smoking,most_reviews_year
Campervan,Lisboa,"5,0",20,60,4,3,B,sob pedido,autorizados,Westfalia Transporter,1990,"2.265,0 kg",Diesel,Desconhecido,"40,0","500,00",Dinheiro,não fumadora,2021
Autocaravana capucino,Leiria,"5,0",26,55,6,5,B,autorizada,sob pedido,Roller Team 41,2002,"3.400,0 kg",Diesel,Desconhecido,"80,0","750,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Carcavelos,"4,5",8,50,5,5,B,não autorizadas,sob pedido,Ford Transit 2.5,1993,"2.900,0 kg",Diesel,75-100000 km,"70,0","750,00","Dinheiro, Outros",não fumadora,2022
Autocaravana Perfilada,Corroios,"5,0",27,66,4,4,B,não autorizadas,autorizados,Ecovip Fr,1998,"3.500,0 kg",Diesel,"100-150,000 km","60,0","700,00","Dinheiro, Transferência, Outros",não fumadora,2021
Autocaravana capucino,Lisboa,"5,0",27,70,4,4,B,não autorizadas,autorizados,Challenger Challenger,2005,"3.400,0 kg",Diesel,"100-150,000 km","70,0","600,00","Dinheiro, Transferência",fumadora,2022
Campervan,Lisboa,"5,0",46,50,6,3,B,autorizada,autorizados,Campster Campster,1988,"2.390,0 kg",Gasolina,"100-150,000 km","50,0","600,00",Dinheiro,sob pedido,2022
Autocaravana Perfilada,Sobral da Abelheira,"5,0",10,80,5,5,B,autorizada,não autorizados,CARADO T334,2020,"3.495,0 kg",Diesel,15-30000 km,"70,0","1 000,00","Dinheiro, Transferência, Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",37,60,6,6,B,não autorizadas,autorizados,Fiat Ducato 230,1999,"3.400,0 kg",Diesel,150-200000 km,"100,0","600,00","Dinheiro, Transferência, Outros",fumadora,2022
Campervan,Lisboa,"5,0",21,55,2,2,B,sob pedido,autorizados,Fiat Ducato,1994,"3.100,0 kg",Diesel,"200-250,000 km","70,0","500,00",Dinheiro,não fumadora,2022
Furgão transformado,Lisboa,"5,0",32,89,4,4,B,autorizada,autorizados,Fiat Ducato,2019,"3.499,0 kg",Diesel,15-30000 km,"95,0","1 750,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",30,59,3,2,B,sob pedido,autorizados,Volkswagen,2000,"2.550,0 kg",Diesel,"200-250,000 km","80,0","600,00",Dinheiro,não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",22,80,4,3,B,não autorizadas,não autorizados,Hymer 524,2000,"3.500,0 kg",Diesel,"100-150,000 km","70,0","1 000,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",29,75,6,4,B,sob pedido,não autorizados,Euramobil SPRINTER 313,2005,"3.500,0 kg",Diesel,150-200000 km,"75,0","800,00",Dinheiro,não fumadora,2022
Campervan,Costa Da Caparica,"5,0",29,69,3,3,B,não autorizadas,não autorizados,Mercedes 207 D,1985,"2.550,0 kg",Diesel,"200-250,000 km","60,0","1 200,00",Transferência,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",14,60,6,6,B,sob pedido,autorizados,Fiat Ducatto,1995,"3.500,0 kg",Diesel,150-200000 km,"65,0","500,00",Dinheiro,sob pedido,2022
Campervan,Costa da Caparica,"5,0",26,54,5,3,B,não autorizadas,sob pedido,ArrVans4U Mb100d,1995,"2.650,0 kg",Diesel,"200-250,000 km","50,0","600,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana Perfilada,Sintra,"5,0",16,70,4,3,B,autorizada,não autorizados,Knaus Sun Ti 650,2005,"3.500,0 kg",Diesel,75-100000 km,"100,0","1 000,00","Cartão De Crédito, Cheque, Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",19,65,3,3,B,sob pedido,autorizados,Ford Ford,1991,"2.600,0 kg",Diesel,150-200000 km,"70,0","550,00","Dinheiro, Outros",não fumadora,2022
Furgão transformado,Lisboa,"5,0",22,65,3,3,B,autorizada,autorizados,"Corkvan Ducato 2,3 l 120 ch",2009,"3.500,0 kg",Diesel,"200-250,000 km","90,0","1 250,00",Transferência,sob pedido,2022
Campervan,Lisboa,"5,0",5,80,4,4,B,sob pedido,sob pedido,"Fiat Ducato 2,0 l Multijet 100 ch.",2009,"3.000,0 kg",Diesel,"100-150,000 km","80,0","2 000,00",Cartão De Crédito,não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",11,98,4,4,B,sob pedido,autorizados,Hymer,2007,"3.500,0 kg",Diesel,75-100000 km,"90,0","1 500,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Lisboa,"5,0",22,48,3,2,B,não autorizadas,não autorizados,Volkswagen T4 2.4d,1994,"2.775,0 kg",Diesel,Mais 250.000 km,"60,0","600,00","Dinheiro, Transferência, Outros",não fumadora,2019
Autocaravana Perfilada,Lisboa,"5,0",17,110,4,4,B,sob pedido,autorizados,Bürstner It 710 G Edition 30,2019,"3.500,0 kg",Diesel,Desconhecido,"90,0","1 500,00","Dinheiro, Transferência, Outros",sob pedido,2021
Furgão transformado,Belas,"5,0",20,37,2,2,B,não autorizadas,não autorizados,Renault Kangoo,2000,"1.820,0 kg",Diesel,Mais 250.000 km,"50,0","400,00",Dinheiro,não fumadora,2022
Furgão transformado,Lisboa,"5,0",10,59,5,5,B,sob pedido,sob pedido,"Peugeot Boxer 2,2 l hdi 130 ch",2018,"3.500,0 kg",Diesel,0-15000 km,"70,0","600,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Frielas,"5,0",29,29,2,2,B,não autorizadas,não autorizados,Dacia Dokker,2014,"1.959,0 kg",Diesel,Desconhecido,"50,0","500,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",16,75,6,6,B,sob pedido,não autorizados,Chausson 03,2008,"3.500,0 kg",Diesel,30-50000 km,"80,0","1 000,00",Dinheiro,não fumadora,2022
Autocaravana Integral,Belas,"5,0",12,250,4,4,B,sob pedido,autorizados,Hymer 690,2021,"3.500,0 kg",Diesel,0-15000 km,"90,0","1 250,00","Dinheiro, Transferência",não fumadora,2022
Furgão transformado,Amadora,"5,0",27,65,4,4,B,autorizada,autorizados,"Peugeot Boxer 2,2 l 130 ch",2012,"3.500,0 kg",Diesel,"100-150,000 km","90,0","700,00","Outros, Dinheiro",não fumadora,2020
Autocaravana Perfilada,Lisboa,"5,0",29,75,4,3,B,autorizada,autorizados,Hymer T664SL,2007,"3.500,0 kg",Diesel,"100-150,000 km","100,0","1 400,00","Dinheiro, Outros",não fumadora,2022
Autocaravana Perfilada,Batalha,"5,0",12,81,4,4,B,sob pedido,não autorizados,Rapido,2008,"3.500,0 kg",Diesel,50-75000 km,"80,0","800,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Santo André,"5,0",9,105,5,5,B,autorizada,autorizados,Benimar 340 Up,2018,"3.500,0 kg",Diesel,50-75000 km,"80,0","1 250,00","Dinheiro, Transferência, Outros",não fumadora,2020
Autocaravana capucino,Santo Isidoro,"5,0",8,50,4,6,B,não autorizadas,não autorizados,Moncayo Ducato,2001,"3.200,0 kg",Diesel,30-50000 km,"80,0","950,00","Transferência, Dinheiro",não fumadora,2022
Autocaravana capucino,Algés,"5,0",18,40,6,6,B,sob pedido,autorizados,"Alemanha Ducato 2,8 l 115 ch/Al-Ko",2001,"3.400,0 kg",Diesel,"100-150,000 km","60,0","1 250,00","Transferência, Dinheiro",não fumadora,2021
Campervan,Lisboa,"5,0",7,75,3,3,B,autorizada,autorizados,Mercedes Vito 108D,1997,"2.600,0 kg",Diesel,Mais 250.000 km,"70,0","600,00","Transferência, Dinheiro",sob pedido,2022
Autocaravana capucino,Leiria,"5,0",17,66,6,6,B,autorizada,autorizados,Bürstner A 574-3,2003,"3.500,0 kg",Diesel,"100-150,000 km","80,0","750,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2022
Autocaravana Perfilada,Ramada,"5,0",5,120,6,4,B,sob pedido,sob pedido,Orla,2008,"3.500,0 kg",Diesel,"100-150,000 km","80,0","1 000,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Perfilada,Amadora,"5,0",5,130,5,5,B,sob pedido,autorizados,Rimor 69 Plus,2020,"3.500,0 kg",Diesel,0-15000 km,"65,0","1 500,00","Transferência, Dinheiro",não fumadora,2022
Furgão transformado,Lisboa,"5,0",6,60,2,2,B,sob pedido,autorizados,Renault,2004,"3.500,0 kg",Diesel,Mais 250.000 km,"60,0","500,00","Transferência, Dinheiro",sob pedido,2022
Autocaravana capucino,Montijo,"5,0",11,84,6,4,B,não autorizadas,sob pedido,Mobilvetta Miller,2005,"3.400,0 kg",Diesel,75-100000 km,"80,0","1 000,00","Outros, Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Fernão Ferro,"5,0",9,70,6,5,B,não autorizadas,sob pedido,Riviera 180,2002,"3.500,0 kg",Diesel,"100-150,000 km","80,0","850,00",Dinheiro,não fumadora,2022
Campervan,Costa da Caparica,"5,0",13,54,3,2,B,não autorizadas,sob pedido,ArrVans4U Hiace,1989,"2.550,0 kg",Diesel,"100-150,000 km","50,0","600,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Lisboa,"4,5",22,47,3,2,B,não autorizadas,autorizados,Westfalia 540 D,1995,"2.595,0 kg",Diesel,"200-250,000 km","70,0","500,00",Dinheiro,não fumadora,2021
Campervan,Lisboa,"5,0",5,50,3,2,B,sob pedido,autorizados,Ford Transit 125 ch,1992,"2.820,0 kg",Diesel,"200-250,000 km","60,0","600,00",Transferência,sob pedido,2022
Furgão transformado,Belas,"5,0",5,37,2,2,B,não autorizadas,não autorizados,Renault,2011,"2.155,0 kg",Diesel,150-200000 km,"50,0","600,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Santa Iria de Azoia,"5,0",20,70,5,6,B,sob pedido,autorizados,Chausson Welcome 6,2003,"3.500,0 kg",Diesel,"100-150,000 km","90,0","750,00","Dinheiro, Transferência, Outros",não fumadora,2021
Furgão transformado,Lisboa,"4,5",17,45,3,2,B,não autorizadas,sob pedido,Volkswagen transporter 2.4 D Transporter,1997,"2.650,0 kg",Diesel,"200-250,000 km","80,0","500,00","Dinheiro, Outros",não fumadora,2022
Autocaravana capucino,Estoril,"5,0",5,92,6,4,B,sob pedido,sob pedido,Mclouis Lagan,2007,"3.300,0 kg",Diesel,"100-150,000 km","80,0","1 000,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Costa da Caparica,"5,0",9,55,2,2,B,não autorizadas,não autorizados,Ford Ford Transit Connect,2011,"2.340,0 kg",Diesel,Mais 250.000 km,"60,0","1 200,00",Transferência,não fumadora,2022
Furgão transformado,Lisboa,"5,0",6,90,3,2,B,não autorizadas,sob pedido,Ducato DUCATO H2L2,2018,"3.000,0 kg",Diesel,150-200000 km,"90,0","1 500,00","Dinheiro, Transferência, Cartão De Crédito",não fumadora,2023
Furgão transformado,Lisboa,"5,0",24,49,3,3,B,não autorizadas,autorizados,Ford Transit,1987,"2.350,0 kg",Diesel,"100-150,000 km","60,0","250,00","Dinheiro, Outros",não fumadora,2019
Autocaravana Integral,Fátima,"4,5",11,70,4,4,B,sob pedido,sob pedido,"B564 Jumper 2,5 TD",1996,"3.500,0 kg",Diesel,"100-150,000 km","80,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2021
Furgão transformado,Lisboa,"5,0",11,45,2,2,B,não autorizadas,autorizados,Mercedes MB 100,1994,"2.800,0 kg",Diesel,"200-250,000 km","75,0","500,00","Dinheiro, Outros",não fumadora,2022
Furgão transformado,Lisboa,"5,0",8,90,2,2,B,não autorizadas,sob pedido,Ducato DUCATO L3H2,2009,"3.300,0 kg",Diesel,Mais 250.000 km,"90,0","1 500,00","Transferência, Dinheiro, Cartão De Crédito",não fumadora,2023
Autocaravana capucino,Lisboa,"5,0",5,70,6,6,B,não autorizadas,autorizados,Roller Team Roller team,1999,"3.500,0 kg",Diesel,Mais 250.000 km,"80,0","1 000,00","Dinheiro, Transferência",não fumadora,2022
Furgão transformado,Lisboa,"4,5",15,79,4,4,B,sob pedido,sob pedido,"Peugeot Boxer 2,2l 120 ch",2019,"3.000,0 kg",Diesel,15-30000 km,"90,0","500,00",Dinheiro,não fumadora,2022
Autocaravana Perfilada,São Domingos de Rana,"5,0",8,70,4,4,B,sob pedido,autorizados,"Rimor Transit 2,0 l 130 ch",2005,"3.500,0 kg",Diesel,75-100000 km,"60,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Lisboa,"4,5",7,50,6,6,B,não autorizadas,autorizados,Miller Miller New Jersey,2002,"3.400,0 kg",Diesel,150-200000 km,"70,0","1 000,00",Transferência,não fumadora,2022
Autocaravana Perfilada,Pinhal Novo,"5,0",14,100,4,5,B,sob pedido,autorizados,Benimar 296,2019,"3.500,0 kg",Diesel,15-30000 km,"60,0","1 500,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Lisboa,"5,0",14,40,3,2,B,sob pedido,autorizados,Volkswagen T3,1990,"2.600,0 kg",Diesel,"200-250,000 km","47,0","500,00","Dinheiro, Outros",não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",13,50,4,4,B,sob pedido,autorizados,Hehn Mobil,1991,"2.770,0 kg",Diesel,50-75000 km,"80,0","300,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Almada,"5,0",13,45,3,2,B,não autorizadas,sob pedido,Mitsubishi L300,1993,"2.510,0 kg",Diesel,Mais 250.000 km,"35,0","800,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Palmela,"5,0",44,49,3,3,B,não autorizadas,sob pedido,Volkswagen Transporter T4,1992,"2.700,0 kg",Diesel,Desconhecido,"80,0","500,00",Dinheiro,não fumadora,2020
Autocaravana Perfilada,São Domingos de Rana,"5,0",16,70,4,4,B,sob pedido,sob pedido,"Renault Master II 2,5 DCI  146 CV VF1EDCYK6367803635",2007,"3.500,0 kg",Diesel,50-75000 km,"120,0","800,00",Dinheiro,não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",12,59,4,4,B,sob pedido,sob pedido,Hymer Eriba,1991,"3.000,0 kg",Diesel,150-200000 km,"70,0","500,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Lisboa,"5,0",8,45,3,3,B,sob pedido,autorizados,Volkswagen Volkswagen transporte,2002,"2.700,0 kg",Diesel,Mais 250.000 km,"80,0","600,00","Transferência, Dinheiro",sob pedido,2022
Autocaravana Integral,Setúbal,"5,0",13,59,4,5,B,sob pedido,sob pedido,Mooveo I683,2008,"3.500,0 kg",Diesel,50-75000 km,"90,0","900,00","Transferência, Dinheiro",não fumadora,2022
Autocaravana capucino,Lisboa,"4,5",8,55,4,4,B,não autorizadas,sob pedido,Elnagh Ducato 2.8 JTD,2004,"3.400,0 kg",Diesel,"100-150,000 km","80,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Lisboa,"4,5",14,70,6,5,B,não autorizadas,autorizados,"Knaus 2,5 td ducato",1997,"3.400,0 kg",Diesel,"100-150,000 km","80,0","600,00","Outros, Transferência, Dinheiro",fumadora,2022
Campervan,Santa Iria de Azoia,"5,0",10,46,3,2,B,não autorizadas,autorizados,Peugeot Peugeot boxer,1996,"2.760,0 kg",Diesel,"100-150,000 km","70,0","650,00","Transferência, Dinheiro",não fumadora,2022
Furgão transformado,Lisboa,"5,0",23,56,4,4,B,sob pedido,autorizados,Campster Urvan,1987,"2.700,0 kg",Diesel,150-200000 km,"45,0","500,00",Dinheiro,fumadora,2022
Autocaravana capucino,Lisboa,"5,0",15,75,4,5,B,sob pedido,autorizados,"Tec Transit 2,2 l 140 ch",2009,"3.500,0 kg",Diesel,"100-150,000 km","70,0","950,00",Dinheiro,não fumadora,2020
Campervan,Belas,"5,0",12,55,3,2,B,não autorizadas,sob pedido,T4 Transporter,1991,"2.700,0 kg",Diesel,Mais 250.000 km,"60,0","600,00",Dinheiro,não fumadora,2022
Autocaravana capucino,São Domingos de Rana,"5,0",14,75,6,6,B,sob pedido,sob pedido,Moncayo Moncayo 2,2006,"3.500,0 kg",Diesel,30-50000 km,"70,0","950,00",Dinheiro,sob pedido,2022
Autocaravana capucino,Odivelas,"5,0",18,70,6,5,B,sob pedido,autorizados,Rimor Transit 2.5 TD 100CV,1998,"3.500,0 kg",Diesel,"100-150,000 km","70,0","1 250,00","Dinheiro, Transferência",não fumadora,2020
Campervan,Lisboa,"4,5",24,60,2,2,B,não autorizadas,autorizados,Fiat Hiace,1989,"2.550,0 kg",Diesel,De 6 a 8 l / 100 km,"70,0","500,00","Transferência, Dinheiro",não fumadora,2019
Campervan,Amadora,"5,0",7,60,3,2,B,não autorizadas,sob pedido,Mercedes Vito 109,2007,"2.770,0 kg",Diesel,Mais 250.000 km,"760,0","750,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",19,70,4,5,B,não autorizadas,não autorizados,C.I. Carioca 10,1999,"3.200,0 kg",Diesel,150-200000 km,"60,0","1 000,00","Dinheiro, Transferência, Outros",não fumadora,2021
Campervan,Algueirão,"5,0",25,55,3,2,B,autorizada,sob pedido,Fiat Movano,2002,"3.300,0 kg",Diesel,De 6 a 8 l / 100 km,"70,0","500,00",Dinheiro,não fumadora,2019
Autocaravana Integral,Frielas,"5,0",26,74,4,4,B,não autorizadas,autorizados,Autostar Aryal 4,2003,"3.500,0 kg",Diesel,"100-150,000 km","80,0","1 000,00","Dinheiro, Dinheiro, Transferência, Transferência",não fumadora,2022
Campervan,Palmela,"5,0",20,49,3,3,B,não autorizadas,sob pedido,Volkswagen Transporter T4,1997,"2.775,0 kg",Diesel,Desconhecido,"80,0","500,00",Dinheiro,não fumadora,2020
Autocaravana capucino,Charneca de Caparica,"4,5",8,85,4,6,B,sob pedido,sob pedido,Knaus 650 Leg,2003,"3.500,0 kg",Diesel,"100-150,000 km","70,0","1 250,00",Outros,não fumadora,2020
Autocaravana Perfilada,Lisboa,"4,5",7,50,4,4,B,sob pedido,sob pedido,Joint 154,2008,"3.500,0 kg",Diesel,30-50000 km,"70,0","1 500,00","Dinheiro, Outros",não fumadora,2022
Campervan,Lisboa,"5,0",8,65,2,2,B,sob pedido,autorizados,VL Vanette,1990,"1.500,0 kg",Diesel,30-50000 km,"50,0","700,00","Dinheiro, Transferência, Outros",sob pedido,2022
Autocaravana capucino,Amadora,"5,0",5,90,6,6,B,sob pedido,autorizados,Sunlight A 70,2019,"3.500,0 kg",Diesel,50-75000 km,"80,0","1 500,00","Dinheiro, Transferência",não fumadora,2019
Autocaravana capucino,brejos de azeitão,"5,0",6,90,3,6,B,sob pedido,autorizados,Frankia Sprinter 2.8 TDI,2000,"3.050,0 kg",Diesel,"100-150,000 km","76,0","850,00","Transferência, Dinheiro",não fumadora,2021
Campervan,Lisboa,"5,0",10,75,2,2,B,sob pedido,autorizados,AU Vanette,1992,"2.510,0 kg",Diesel,50-75000 km,"50,0","700,00","Dinheiro, Transferência, Outros",sob pedido,2022
Autocaravana Integral,Ericeira,"5,0",11,90,6,6,B,sob pedido,autorizados,Mercedes benz A312D,2000,"3.500,0 kg",Diesel,Desconhecido,"80,0","900,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Perfilada,Setúbal,"5,0",7,59,4,4,B,autorizada,não autorizados,"Benimar Ducato 2,3 l 130 ch.",1997,"3.500,0 kg",Diesel,"100-150,000 km","80,0","800,00","Dinheiro, Outros",não fumadora,2022
Furgão transformado,Foros de Salvaterra,"5,0",7,75,4,3,B,sob pedido,não autorizados,FIAT DUCATO,2007,"3.300,0 kg",Diesel,75-100000 km,"100,0","900,00",Dinheiro,não fumadora,2020
Campervan,Lisboa,"5,0",12,60,3,3,B,sob pedido,autorizados,Volkswagen Transporter,1999,"2.600,0 kg",Diesel,Desconhecido,"80,0","750,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",8,100,5,5,B,sob pedido,sob pedido,Sunlight A 68,2018,"3.495,0 kg",Diesel,15-30000 km,"80,0","1 500,00",Transferência,não fumadora,2022
Furgão transformado,Lisboa,"5,0",1,95,4,2,B,autorizada,não autorizados,Lionfish Weinsberg,2013,"3.500,0 kg",Diesel,"200-250,000 km","80,0","1 250,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",2,110,6,6,B,sob pedido,autorizados,Rimor 1,2007,"3.500,0 kg",Diesel,50-75000 km,"80,0","1 500,00","Dinheiro, Transferência, Cartão De Crédito",sob pedido,2022
Autocaravana capucino,Lisboa,"5,0",2,110,6,6,B,sob pedido,autorizados,Rimor 1 Light,2010,"3.500,0 kg",Diesel,75-100000 km,"80,0","1 500,00","Dinheiro, Transferência, Cartão De Crédito",sob pedido,2022
